Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Country
10084,24-03-2024,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card,Bahrain
10085,25-03-2024,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card,United States
10086,26-03-2024,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal,Bosnia and Herzegovina
10087,27-03-2024,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card,Afghanistan
10088,28-03-2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card,Greenland
10089,29-03-2024,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,Europe,PayPal,Andorra
10090,30-03-2024,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card,Kuwait
10091,31-03-2024,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card,Costa Rica
10092,01-04-2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal,Bosnia and Herzegovina
10093,02-04-2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card,Lebanon
10094,03-04-2024,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card,Bahamas
10095,04-04-2024,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Europe,PayPal,Austria
10096,05-04-2024,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card,India
10097,06-04-2024,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card,Guatemala
10098,07-04-2024,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal,Czech Republic
10099,08-04-2024,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card,Mongolia
10100,09-04-2024,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card,Trinidad and Tobago
10101,10-04-2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82.0,82.0,Europe,PayPal,Azerbaijan
10102,11-04-2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card,Iraq
10103,12-04-2024,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card,Nicaragua
10104,13-04-2024,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal,Italy
10105,14-04-2024,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card,Bhutan
10106,15-04-2024,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card,Montserrat
10107,16-04-2024,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal,Italy
10108,17-04-2024,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card,Azerbaijan
10109,18-04-2024,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card,Jamaica
10110,19-04-2024,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal,Germany
10111,20-04-2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card,India
10112,21-04-2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card,Barbados
10113,22-04-2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15.0,15.0,Europe,PayPal,Denmark
10114,23-04-2024,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card,Mongolia
10115,24-04-2024,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card,Montserrat
10116,25-04-2024,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal,Finland
10117,26-04-2024,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card,Bangladesh
10118,27-04-2024,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card,Canada
10119,28-04-2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal,Malta
10120,29-04-2024,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card,Armenia
10121,30-04-2024,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card,Cuba
10122,01-05-2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal,Liechtenstein
10123,02-05-2024,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card,Kazakhstan
10124,03-05-2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card,Haiti
10125,04-05-2024,Beauty Products,NARS Radiant Creamy Concealer,1,30.0,30.0,Europe,PayPal,Georgia
10126,05-05-2024,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card,Iran
10127,06-05-2024,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card,Puerto Rico
10128,07-05-2024,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal,Belarus
10129,08-05-2024,Clothing,Lululemon Align Leggings,3,98.0,294.0,Asia,Debit Card,Japan
10130,09-05-2024,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card,Costa Rica
10131,10-05-2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36.0,36.0,Europe,PayPal,Georgia
10132,11-05-2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card,Malaysia
10133,12-05-2024,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card,El Salvador
10134,13-05-2024,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal,Germany
10135,14-05-2024,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card,North Korea
10136,15-05-2024,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card,Nicaragua
10137,16-05-2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal,Kosovo
10138,17-05-2024,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card,Iran
10139,18-05-2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card,Panama
10140,19-05-2024,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal,Malta
10141,20-05-2024,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card,Bhutan
10142,21-05-2024,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card,United States
10143,22-05-2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal,Hungary
10144,23-05-2024,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card,India
10145,24-05-2024,Electronics,Apple AirPods Max,1,549.0,549.0,North America,Credit Card,Costa Rica
10146,25-05-2024,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal,Kosovo
10147,26-05-2024,Clothing,Levi's Sherpa Trucker Jacket,2,98.0,196.0,Asia,Debit Card,Kuwait
10148,27-05-2024,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card,Bahamas
10149,28-05-2024,Beauty Products,Laneige Water Sleeping Mask,1,25.0,25.0,Europe,PayPal,Greece
10150,29-05-2024,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card,Israel
10151,30-05-2024,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card,Nicaragua
10152,31-05-2024,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal,Latvia
10153,01-06-2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card,Myanmar
10154,02-06-2024,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card,Honduras
10155,03-06-2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59.0,59.0,Europe,PayPal,Croatia
10156,04-06-2024,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card,Oman
10157,05-06-2024,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card,Saint Vincent and the Grenadines
10158,06-06-2024,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal,Kosovo
10159,07-06-2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card,Brunei
10160,08-06-2024,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card,Grenada
10161,09-06-2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36.0,36.0,Europe,PayPal,Hungary
10162,10-06-2024,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card,Kuwait
10163,11-06-2024,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card,Saint Vincent and the Grenadines
10164,12-06-2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal,Liechtenstein
10165,13-06-2024,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card,Azerbaijan
10166,14-06-2024,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card,Grenada
10167,15-06-2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal,Azerbaijan
10168,16-06-2024,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card,Kyrgyzstan
10169,17-06-2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card,Guatemala
10170,18-06-2024,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal,Kosovo
10171,19-06-2024,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card,North Korea
10172,20-06-2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card,Antigua and Barbuda
10173,21-06-2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal,Czech Republic
10174,22-06-2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card,Iraq
10175,23-06-2024,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card,Antigua and Barbuda
10176,24-06-2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal,Bulgaria
10177,25-06-2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card,Maldives
10178,26-06-2024,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card,Saint Lucia
10179,27-06-2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34.0,68.0,Europe,PayPal,Belgium
10180,28-06-2024,Sports,Oakley Holbrook Sunglasses,1,146.0,146.0,Asia,Credit Card,Armenia
10181,29-06-2024,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card,Saint Kitts and Nevis
10182,30-06-2024,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal,Finland
10183,01-07-2024,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card,North Korea
10184,02-07-2024,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card,Barbados
10185,03-07-2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190.0,190.0,Europe,PayPal,Malta
10186,04-07-2024,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card,India
10187,05-07-2024,Electronics,Sonos Beam Soundbar,1,399.0,399.0,North America,Credit Card,Saint Lucia
10188,06-07-2024,Home Appliances,Anova Precision Cooker,2,199.0,398.0,Europe,PayPal,Belgium
10189,07-07-2024,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card,Bhutan
10190,08-07-2024,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card,Saint Kitts and Nevis
10191,09-07-2024,Beauty Products,Glossier Cloud Paint,1,18.0,18.0,Europe,PayPal,Hungary
10192,10-07-2024,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card,Bahrain
10193,11-07-2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card,El Salvador
10194,12-07-2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal,Greece
10195,13-07-2024,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card,Oman
10196,14-07-2024,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card,Jamaica
10197,15-07-2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125.0,125.0,Europe,PayPal,Belarus
10198,16-07-2024,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card,Malaysia
10199,17-07-2024,Electronics,Apple TV 4K,2,179.0,358.0,North America,Credit Card,Greenland
10200,18-07-2024,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal,Bulgaria
10201,19-07-2024,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card,Nepal
10202,20-07-2024,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card,Jamaica
10203,21-07-2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52.0,52.0,Europe,PayPal,Estonia
10204,22-07-2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card,Kazakhstan
10205,23-07-2024,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card,Bahamas
10206,24-07-2024,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal,Croatia
10207,25-07-2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98.0,196.0,Asia,Debit Card,Armenia
10208,26-07-2024,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card,Greenland
10209,27-07-2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79.0,79.0,Europe,PayPal,Iceland
10210,28-07-2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129.0,129.0,Asia,Credit Card,Laos
10211,29-07-2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card,Panama
10212,30-07-2024,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal,Georgia
10213,31-07-2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card,Myanmar
10214,01-08-2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card,Grenada
10215,02-08-2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29.0,58.0,Europe,PayPal,Lithuania
10216,03-08-2024,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card,Kazakhstan
10217,04-08-2024,Electronics,Apple MacBook Pro 16-inch,1,2399.0,2399.0,North America,Credit Card,Jamaica
10218,05-08-2024,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal,Czech Republic
10219,06-08-2024,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card,Armenia
10220,07-08-2024,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card,United States
10221,08-08-2024,Beauty Products,Tarte Shape Tape Concealer,1,27.0,27.0,Europe,PayPal,Andorra
10222,09-08-2024,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card,Oman
10223,10-08-2024,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card,Cuba
10224,11-08-2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal,Luxembourg
10225,12-08-2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card,Azerbaijan
10226,13-08-2024,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card,Guatemala
10227,14-08-2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal,Croatia
10228,15-08-2024,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card,Japan
10229,16-08-2024,Electronics,Google Nest Wifi Router,1,169.0,169.0,North America,Credit Card,Cayman Islands
10230,17-08-2024,Home Appliances,Anova Precision Oven,1,599.0,599.0,Europe,PayPal,Denmark
10231,18-08-2024,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card,Bangladesh
10232,19-08-2024,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card,Montserrat
10233,20-08-2024,Beauty Products,Fresh Sugar Lip Treatment,1,24.0,24.0,Europe,PayPal,Albania
10234,21-08-2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card,Malaysia
10235,22-08-2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299.0,299.0,North America,Credit Card,United States
10236,23-08-2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal,Estonia
10237,24-08-2024,Clothing,Nike Air Force 1 Sneakers,3,90.0,270.0,Asia,Debit Card,Lebanon
10238,25-08-2024,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card,Saint Kitts and Nevis
10239,26-08-2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55.0,55.0,Europe,PayPal,Hungary
10240,27-08-2024,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card,Israel
